repo	revision	tier	bytes	file_sha256	status	answer_sha256	skip
soleimanian/financial-roberta-large-sentiment	f8804d31111d7c3569e88abaad6969918e858fbd	full	1356047	d4fc85277c11a50d6bfcbbe0c18be47931983d52686f7ab12dce0b0e0a249ac2	ok	b148ae47afaffc763e37b7897f4c8c1fb8af5c06737719eaa6d3c619890b9b78	-
sparse-encoder-testing/splade-bert-tiny-nq	c080c2cff606c1ee9379e883895274367f2c29e3	full	711649	91f1def9b9391fdabe028cd3f3fcc4efd34e5d1f08c3bf2de513ebb5911a1854	ok	d983633b736583742c3f2e8a47dbcc1682d547da3f11d4cc64a9b0e6d30bd5cf	-
Stern5497/sbert-legal-xlm-roberta-base	33a0f35961ee640665ea944ba5d5004c00d4dac4	quick	6215713	168de259099d6529d54a9d895c835b653f970750e34491c5fb01fdfa746ca405	ok	bcce5b9a01ac37ca0fa463e2fe8ccff696a551916d8a7553af874d66fe9bb30f	279,319,320
suriya7/bart-finetuned-text-summarization	e6d2f3ca885a977326a6015dbfe03c3a1253a3a0	full	2108712	ede1921b1d8f026b87c844ea1d4c63546dd7e0f3784de6a0abf05b8d2e8f0502	ok	b148ae47afaffc763e37b7897f4c8c1fb8af5c06737719eaa6d3c619890b9b78	-
Systran/faster-whisper-small	536b0662742c02347bc0e980a01041f333bce120	full	2203239	fb7b63191e9bb045082c79fd742a3106a12c99513ab30df4a0d47fa6cb6fd0ab	ok	8827101f923ea6ccb97a53bbbea0b5bfa399e0f0f455d938e3311d0f9f32ac39	-
Systran/faster-whisper-tiny.en	0d3d19a32d3338f10357c0889762bd8d64bbdeba	full	2128466	929c5252409436dce1b38a75d1abbcb5e132d170d8e324e4e04ed915fa2d22df	ok	a9bcbc86b67ab2fcfe25f01ca97521179652bf0cd41451b17950dd6f2cd31e6f	-
tabularisai/multilingual-sentiment-analysis	eea032081f8d247b4303ef3565e7cec1b6f201c9	full	2919362	bf1b59b7b11c95f194f51708d918eea378e09d05f84c0e1656dc5180e8117088	ok	0d833174ceb4196a1b305ea666e42259b94d9a64373c43847eef0e8a60de584a	-
tasksource/deberta-base-long-nli	04dcf11f844b07bc57015169fca2b7d6df8299d5	full	8656891	497cf2afb9f305365529f3fb22b3993c97c929c85ba3b64118dc51eb4cab0e1d	ok	71d3063c03d26252d58bd29098ba409262c70d89eaa8c99fc43e882ef57f34a5	-
tasksource/deberta-small-long-nli	9a77395d4d3751be9e2a69c4ae318491d9b3fffb	full	8656891	acc5aff95a1beb48778f3aa96674ebf6b55f506b2dac28faeeceb6a815e86806	ok	71d3063c03d26252d58bd29098ba409262c70d89eaa8c99fc43e882ef57f34a5	-
tasksource/ModernBERT-base-nli	de4ab7e77845098b7fab7f6ab9d370ddff27b19c	full	3583499	05c5c40d6a7c23400de4486f6cb365b9a858de6da81bdcbfe1aff016d2a2cc23	ok	1abf56beee98838db34420294505953c55e2f2a9fd2060c54ec078a9d6823c16	-
tencent/HunyuanOCR	47644ecc4fc854efa4f505155158831f36773ee4	full	9527297	3e2ab46bcc5ed8bce013b245c6daecf19fa1d2a18f48a9c88a1f571dcbf7dfd3	ok	1cf223d7737546db122168364f2f4c1923fb399e5890167a2b440d0dd47fa827	-
tencent/Hy-MT2-1.8B	9a341cd1b679d3efd23b46e847b01745a71ed792	full	9527287	b475bbef1b0b2fd57dcb865332b546475bd1ede2deb3bb91bafd0c047a8a530a	ok	1cf223d7737546db122168364f2f4c1923fb399e5890167a2b440d0dd47fa827	-
tencent/Hy-MT2-30B-A3B	d3ead4dba61c09aac60a261a96ad1df3e705febb	full	9527108	ad96ef9f641b79bb63807bea87cecf1dd0534325b463dad44cccbb3d0c571db7	ok	1cf223d7737546db122168364f2f4c1923fb399e5890167a2b440d0dd47fa827	-
TIGER-Lab/general-verifier	dc59c0c82360170cab0be91c91ae545ff32ea896	full	11421995	83396048d512ec1f3178af0d7c1f79a226bba041822614b0e26a4fd2d4b55bf7	ok	ebc9fda176829a0763975768800088d09be2320684e8709577c66799481dad2a	-
tiiuae/falcon-40b	05ab2ee8d6b593bdbab17d728de5c028a7a94d83	quick	2734130	d6c5cdac1421ea998722aa88ea1cb630b2a9ec63bf8a85331bb3d9d321507186	ok	729210fbcbd7afef6b834b14581dda5ab04818119eb42e7ccd435f6af4c89c77	-
TimKond/S-PubMedBert-MedQuAD	b73d84decb1da6bd4c1cf084a1b6c6602157d267	full	446771	cedfc72fd9bdb70db1c94d8cf3360ad64945742f690edfdfcefcc6edf27ad4dc	ok	13be4c1a12f5cff32cb7f22a12c7779b89f732a57356f47541ca47eba5ec7378	-
TinyLlama/TinyLlama-1.1B-Chat-v1.0	fe8a4ea1ffedaf415f4da2f062534de366a451e6	quick	1842767	bcd04f0eadf90287bd26e1a183ac487d8a141b09b06aecb7725bbdd343640f2e	ok	418f52e983b6fe8bdbbb4aaa8f67cdb5f0bff69bef55bb8fa87d4f3884dd6ff6	-
tomaarsen/span-marker-bert-base-uncased-acronyms	d547e2eba6f65e787e5f59e1c812d5f60d798975	full	711760	84b13987edc8e8f49c95f495a38c1f47800443be16c83f64e7cf9daf609ec3bc	ok	d983633b736583742c3f2e8a47dbcc1682d547da3f11d4cc64a9b0e6d30bd5cf	-
trl-internal-testing/tiny-Qwen2ForSequenceClassification-2.5	9f98188909b03e8d8d1dd624474b87ae41ee3bd8	full	11421896	9c5ae00e602b8860cbd784ba82a8aa14e8feecec692e7076590d014d7b7fdafa	ok	ebc9fda176829a0763975768800088d09be2320684e8709577c66799481dad2a	-
ubikpt/t5-small-finetuned-cnn-v2	a0be88a1dd4cb4e76ae49337445f0c08e8a51493	quick	1387438	e674760d8508651cb817ccf12bd2f33336b35bc657f7cb34bf971a8f442a8136	ok	ac9567378d9bd13ea8d4c5ed3570e3c23b7f9b1d57ad5b9096996ce56b82e47f	-
Unbabel/TowerInstruct-7B-v0.1	cb2e455b98c8e887e55729f37773fba95a578325	full	1844048	363a8dace481f2a8005b502e471478ac8f20c57148bde682c318af6e89e8b653	ok	d665c6e2a8e5593fdd9b6f3fbe2d67d5f64b5233acda8c8da7715a7ba9417e9d	-
unicamp-dl/translation-pt-en-t5	02844c590f318229e0e5332fafb74ab514a9a05b	full	1351327	68351d425935432a725d5468601f870063252c41571ed2dcfa07bb41274b2bc6	ok	a28929050f36a345ef371a75cee3441f31eb6d68adbc2a1c66584b8d79ef7fef	-
VAGOsolutions/SauerkrautLM-Translator-LFM2.5-1.2B	713e2bd1ebf2503ad9aa99dd7173bf0e6f050c8d	full	4733389	df1d8d5ec5d091b460562ffd545e4a5e91d17d4a0db7ebe733be34ed374377bd	ok	28dce48458acda9407fd5a04e503cbfb1d853502eef73b0410ce42340929705d	-
vibhorag101/roberta-base-suicide-prediction-phr	6e9b96d32711c81d8fc7bd0b221355f2d497ba44	full	2108619	1649e42e2e4cc707159be564b62216cd3c21a0225fad65b04bed94477dd79083	ok	b148ae47afaffc763e37b7897f4c8c1fb8af5c06737719eaa6d3c619890b9b78	-
VietAI/envit5-translation	840bc88104d5a4277af740eaedb024df8c3093e7	full	3488920	74d993969a7a9addc0096ba0f574ee13046ebf234b3436e183a7951a9da1ee2b	ok	3350324656b5f0d276e948f6c782d4b83ed7a043db253e1d491457dd5874e4fa	-
VietAI/vit5-base-vietnews-summarization	a54febd011c0a39ce49ceacd9225e63ef3a73ad3	quick	2399296	8a92d24897341fe51bc911919dfc6e0cb3e9e0738ad9b200df8cf058aa5f5b2d	ok	8e4b8e8d1ab74867d9793c70c96ce91724b07cab37100fa83cf758de9d877064	-
VietAI/vit5-large-vietnews-summarization	8926b4edb541fd4f28260e5469d8a00121785fcf	full	2418838	bc04f937bab2498ac1a76053fccde04f6865bb76b7e07264d3e84d4639856ac1	ok	651e24e2c480a924d14169590e75e369d9b8592ec89a1e475bdfc3b43f2ef1bb	-
vinai/bertweet-base	b349c1243407b0dcffeabb2337497477286e27ab	quick	2912687	48a8972b321c93163b78d98f40bb410d898d8869d8439b6abb5f8283f545b85d	ok	739d63aa027bcff5cb8e51b3abc1c2ec35f036763d047fb49a5fdf33626ced94	-
